DATE,POWER FLOW (mcm),ENERGY (GWh),RES ELEV (m),SPILL (mcm),GROSS STORAGE (mcm),RAIN (mm)
8-Sep-85,0.00,0.00,436.66,5.27,689.91,-1.00
9-Sep-85,0.00,0.00,436.50,4.28,685.88,-1.00
10-Sep-85,0.36,0.18,436.37,2.62,682.93,-1.00
11-Sep-85,0.66,0.33,436.32,1.14,681.73,-1.00
12-Sep-85,0.88,0.44,436.33,0.88,681.80,-1.00
13-Sep-85,4.74,2.34,436.27,0.49,680.55,-1.00
14-Sep-85,4.31,2.13,436.11,0.00,676.59,-1.00
15-Sep-85,3.93,1.94,435.94,0.00,672.49,-1.00
16-Sep-85,3.96,1.95,435.80,0.00,669.08,-1.00
17-Sep-85,4.29,2.11,435.64,0.00,665.36,-1.00
18-Sep-85,4.11,2.02,435.51,0.00,662.24,-1.00
19-Sep-85,5.16,2.53,435.39,0.00,659.34,-1.00
20-Sep-85,5.17,2.54,435.21,0.00,655.14,-1.00
21-Sep-85,5.75,2.82,435.02,0.00,650.43,-1.00
22-Sep-85,5.84,2.86,434.82,0.00,646.14,-1.00
23-Sep-85,5.20,2.55,434.63,0.00,642.15,-1.00
24-Sep-85,6.18,3.02,434.46,0.00,638.68,-1.00
25-Sep-85,5.81,2.84,434.34,0.00,636.22,-1.00
26-Sep-85,6.01,2.94,434.15,0.00,632.17,-1.00
27-Sep-85,6.05,2.95,433.93,0.00,627.47,-1.00
28-Sep-85,6.13,2.98,433.69,0.00,622.41,-1.00
29-Sep-85,5.46,2.65,433.42,0.00,616.80,-1.00
30-Sep-85,5.58,2.71,433.37,0.00,615.77,-1.00
1-Oct-85,4.97,2.42,433.74,0.00,623.50,-1.00
2-Oct-85,4.90,2.39,433.83,0.00,625.39,-1.00
3-Oct-85,6.22,3.04,434.02,0.00,629.36,-1.00
4-Oct-85,5.90,2.88,434.08,0.00,630.72,-1.00
5-Oct-85,3.62,1.78,434.99,0.00,649.81,-1.00
6-Oct-85,4.44,2.18,435.34,0.00,658.21,-1.00
7-Oct-85,5.59,2.75,435.58,0.00,663.92,-1.00
8-Oct-85,5.57,2.74,435.88,0.00,671.10,-1.00
9-Oct-85,4.89,2.41,435.95,0.00,672.78,-1.00
10-Oct-85,4.53,2.23,436.04,0.00,674.91,-1.00
11-Oct-85,4.58,2.26,436.16,0.00,677.97,-1.00
12-Oct-85,4.41,2.18,436.36,0.00,682.66,-1.00
13-Oct-85,4.21,2.08,436.49,0.00,685.81,-1.00
14-Oct-85,4.15,2.05,436.53,0.00,686.60,-1.00
